DDCTransactionId5162C770426DEB125559A5A0C3A4556C_0, GetCachedData, CacheKey=GSM_af1606fcec214373844d2b6cf9df71c8_PCD3D_SM5_3__BC5N_DEV_SL_NoDBuf_TLpvPropa__73A6722EE48FDE52141B50F203A2B2CF84A087A7, StartTime=2016.05.06-08.38.43, HierarchicalDDC, DataSize=3002145 bytes, Retrieved=true, Duration=1.486808ms, RunGuid=RunID442299074004F4A0C3474F9EAC820D33
DDCTransactionId36D2B5C9412E04024DEF3386B80ACB4E_0, GetCachedData, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_5216118D4EACC7D4064ADCBA89F7720__4776B6E2E6502A15BA73B7522CDBB3F8E50002AD, StartTime=2016.05.06-08.38.43, HierarchicalDDC, DataSize=22665 bytes, Retrieved=true, Duration=0.180483ms, RunGuid=RunID442299074004F4A0C3474F9EAC820D33
DDCTransactionId36D2B5C9412E04024DEF3386B80ACB4E_1, CachedDataProbablyExists, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_5216118D4EACC7D4064ADCBA89F7720__66F5A912C12ECCBFC7828C141D8C68C1A07C0A15, StartTime=2016.05.06-08.38.43, HierarchicalDDC, Duration=0.092965ms, RunGuid=RunID442299074004F4A0C3474F9EAC820D33
DDCTransactionId36D2B5C9412E04024DEF3386B80ACB4E_2, GetCachedData, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_25CD52414339E18173E25F9FE28E6F7__E382EECA4C24A5DC232BE9247DC197F6B8DC702B, StartTime=2016.05.06-08.38.43, HierarchicalDDC, DataSize=22958 bytes, Retrieved=true, Duration=0.060268ms, RunGuid=RunID442299074004F4A0C3474F9EAC820D33
DDCTransactionId36D2B5C9412E04024DEF3386B80ACB4E_3, CachedDataProbablyExists, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_25CD52414339E18173E25F9FE28E6F7__67B45977DAEC48FA9C18EFBA3BE582AF431E813E, StartTime=2016.05.06-08.38.43, HierarchicalDDC, Duration=0.012502ms, RunGuid=RunID442299074004F4A0C3474F9EAC820D33
DDCTransactionId36D2B5C9412E04024DEF3386B80ACB4E_4, CachedDataProbablyExists, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_25CD52414339E18173E25F9FE28E6F7__1380E9E5B67F360AFCB4C5A6C93158D79092F47B, StartTime=2016.05.06-08.38.43, HierarchicalDDC, Duration=0.012822ms, RunGuid=RunID442299074004F4A0C3474F9EAC820D33
DDCTransactionId36D2B5C9412E04024DEF3386B80ACB4E_5, GetCachedData, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_222D3F804EB4AB5DA9BDE2BAE545EEF__18DD853840B0F872014C7A0CC5CED56A7A5D3CC6, StartTime=2016.05.06-08.38.43, HierarchicalDDC, DataSize=22665 bytes, Retrieved=true, Duration=0.154838ms, RunGuid=RunID442299074004F4A0C3474F9EAC820D33
DDCTransactionId36D2B5C9412E04024DEF3386B80ACB4E_6, CachedDataProbablyExists, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_222D3F804EB4AB5DA9BDE2BAE545EEF__752C88E79A6EEA422A7F7F21AFBC340AAA71BCC3, StartTime=2016.05.06-08.38.43, HierarchicalDDC, Duration=0.014745ms, RunGuid=RunID442299074004F4A0C3474F9EAC820D33
DDCTransactionId36D2B5C9412E04024DEF3386B80ACB4E_7, GetCachedData, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_89A4A1B64CC9699371EF9AABCB127__761A5490E51E8BC304AADFB493900B1523AD09CF, StartTime=2016.05.06-08.38.43, HierarchicalDDC, DataSize=3270 bytes, Retrieved=true, Duration=0.050329ms, RunGuid=RunID442299074004F4A0C3474F9EAC820D33
DDCTransactionId36D2B5C9412E04024DEF3386B80ACB4E_8, GetCachedData, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_C1DF83684CF68DAB197F4785361F5__E54ACD4270C98C672E017FC37F0607C2A873A36F, StartTime=2016.05.06-08.38.43, HierarchicalDDC, DataSize=3565 bytes, Retrieved=true, Duration=0.034943ms, RunGuid=RunID442299074004F4A0C3474F9EAC820D33
DDCTransactionId36D2B5C9412E04024DEF3386B80ACB4E_9, CachedDataProbablyExists, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_C1DF83684CF68DAB197F4785361F5__93D16C78FFABBF25A8FB7F44F21B69B0390FF3A3, StartTime=2016.05.06-08.38.43, HierarchicalDDC, Duration=0.012822ms, RunGuid=RunID442299074004F4A0C3474F9EAC820D33
DDCTransactionId5162C770426DEB125559A5A0C3A4556C_1, GetCachedData, CacheKey=STATICMESH_46A8778361B442A9523C54440EA1E9D_8C68575CEF434CA8A9E1DA4AED8A47BB_CA__2D8B2483DC0CF9D0E3709FFF081377CAF394F574, StartTime=2016.05.06-08.38.43, HierarchicalDDC, DataSize=1817 bytes, Retrieved=true, Duration=0.036225ms, RunGuid=RunID442299074004F4A0C3474F9EAC820D33
DDCTransactionId5162C770426DEB125559A5A0C3A4556C_2, GetCachedData, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_97A0BECC4C251FC1E__76A39A91F9F928692A60BFE83F4D5BEBD7CD567D, StartTime=2016.05.06-08.38.43, HierarchicalDDC, DataSize=829 bytes, Retrieved=true, Duration=0.034943ms, RunGuid=RunID442299074004F4A0C3474F9EAC820D33
DDCTransactionId5162C770426DEB125559A5A0C3A4556C_3, GetCachedData, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_97A0BECC4C251FC1EC8CB3B8C9097E6__412433F973340BC04B876D599045FC9FCDB5D22F, StartTime=2016.05.06-08.38.43, HierarchicalDDC, DataSize=1722 bytes, Retrieved=true, Duration=0.050973ms, RunGuid=RunID442299074004F4A0C3474F9EAC820D33
