DDCTransactionId67C4E6B54821EAD9C15960961316B64F_12, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufED9A9085__7C2236F37A2699D5ED760BB0FB6F110480C08B96, StartTime=2016.05.24-09.33.01, HierarchicalDDC, DataSize=39664 bytes, Retrieved=true, Duration=0.367697ms, RunGuid=RunID3FA70B1741AA7B9CA0C6ECA23252CA70
DDCTransactionId67C4E6B54821EAD9C15960961316B64F_13, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufED9A9085__5A05F619742FE08C4A0EAF506CE2DA80E71B3F09, StartTime=2016.05.24-09.33.01, HierarchicalDDC, DataSize=27401 bytes, Retrieved=true, Duration=0.130150ms, RunGuid=RunID3FA70B1741AA7B9CA0C6ECA23252CA70
DDCTransactionId67C4E6B54821EAD9C15960961316B64F_14, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufED9A9085__E8E8F6A974CFFFD14638F5460D1E279D2CFFBC93, StartTime=2016.05.24-09.33.01, HierarchicalDDC, DataSize=20272 bytes, Retrieved=true, Duration=0.267357ms, RunGuid=RunID3FA70B1741AA7B9CA0C6ECA23252CA70
DDCTransactionId67C4E6B54821EAD9C15960961316B64F_15, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufED9A9085__A6D8B5D7C4BA1914916EDB8EEF1A2430303F569C, StartTime=2016.05.24-09.33.01, HierarchicalDDC, DataSize=18645 bytes, Retrieved=true, Duration=0.075337ms, RunGuid=RunID3FA70B1741AA7B9CA0C6ECA23252CA70
DDCTransactionId67C4E6B54821EAD9C15960961316B64F_16, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufED9A9085__1B19725398BA974ABF67B90E7D4E53DD7BC27FDC, StartTime=2016.05.24-09.33.01, HierarchicalDDC, DataSize=11827 bytes, Retrieved=true, Duration=0.338204ms, RunGuid=RunID3FA70B1741AA7B9CA0C6ECA23252CA70
DDCTransactionId67C4E6B54821EAD9C15960961316B64F_17, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufED9A9085__A8B069CCB8A682803E214E9F9F02DCE8AFAEE8B5, StartTime=2016.05.24-09.33.01, HierarchicalDDC, DataSize=38327 bytes, Retrieved=true, Duration=0.102263ms, RunGuid=RunID3FA70B1741AA7B9CA0C6ECA23252CA70
DDCTransactionId67C4E6B54821EAD9C15960961316B64F_18, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufED9A9085__E0A95C87630FA0599BDFAB622058012DDECC3E0A, StartTime=2016.05.24-09.33.01, HierarchicalDDC, DataSize=31142 bytes, Retrieved=true, Duration=0.235945ms, RunGuid=RunID3FA70B1741AA7B9CA0C6ECA23252CA70
DDCTransactionId67C4E6B54821EAD9C15960961316B64F_19, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufED9A9085__002EFBBCF05F1CE3AA3002D2F8DE1E71CF0A10B9, StartTime=2016.05.24-09.33.01, HierarchicalDDC, DataSize=37776 bytes, Retrieved=true, Duration=0.095207ms, RunGuid=RunID3FA70B1741AA7B9CA0C6ECA23252CA70
DDCTransactionId67C4E6B54821EAD9C15960961316B64F_20, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufED9A9085__A3EDDECAB2B7A8AA294026CB09800F5FB59272E4, StartTime=2016.05.24-09.33.01, HierarchicalDDC, DataSize=30886 bytes, Retrieved=true, Duration=0.249084ms, RunGuid=RunID3FA70B1741AA7B9CA0C6ECA23252CA70
DDCTransactionId67C4E6B54821EAD9C15960961316B64F_21, GetCachedData, CacheKey=STATICMESH_46A8778361B442A9523C54440EA1E9D_8C68575CEF434CA8A9E1DA4AED8A47BB_21__27332BED7EEB4BCFC645A8495DBDD296BC92845C, StartTime=2016.05.24-09.33.01, HierarchicalDDC, DataSize=36762 bytes, Retrieved=true, Duration=0.077900ms, RunGuid=RunID3FA70B1741AA7B9CA0C6ECA23252CA70
DDCTransactionId67C4E6B54821EAD9C15960961316B64F_22, GetCachedData, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_572BACBB4C0F7A7E5__3E548DD4356165E327B3FDBD52328D445BA9E3FF, StartTime=2016.05.24-09.33.01, HierarchicalDDC, DataSize=5894 bytes, Retrieved=true, Duration=0.058666ms, RunGuid=RunID3FA70B1741AA7B9CA0C6ECA23252CA70
DDCTransactionId67C4E6B54821EAD9C15960961316B64F_23, GetCachedData, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_572BACBB4C0F7A7E5E958FB3CA3C35D__C2850DB5A2961110725E32467314D7B18AB25CB6, StartTime=2016.05.24-09.33.01, HierarchicalDDC, DataSize=15253 bytes, Retrieved=true, Duration=0.092324ms, RunGuid=RunID3FA70B1741AA7B9CA0C6ECA23252CA70
DDCTransactionId67C4E6B54821EAD9C15960961316B64F_24, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufAC9EF829__8CC0F4B428211CB014630ACFB9E79EB44FF8A93A, StartTime=2016.05.24-09.33.01, HierarchicalDDC, DataSize=157804 bytes, Retrieved=true, Duration=0.241391ms, RunGuid=RunID3FA70B1741AA7B9CA0C6ECA23252CA70
DDCTransactionId67C4E6B54821EAD9C15960961316B64F_25, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufAC9EF829__EEA3882D73982854244620B11008BF4A6D2EAB41, StartTime=2016.05.24-09.33.01, HierarchicalDDC, DataSize=116636 bytes, Retrieved=true, Duration=26.150425ms, RunGuid=RunID3FA70B1741AA7B9CA0C6ECA23252CA70
DDCTransactionId67C4E6B54821EAD9C15960961316B64F_26, GetCachedData, CacheKey=STATICMESH_46A8778361B442A9523C54440EA1E9D_8C68575CEF434CA8A9E1DA4AED8A47BB_D8__AB7440EC4758A80E781CBED1E2F4D9CABBC9ECB2, StartTime=2016.05.24-09.33.01, HierarchicalDDC, DataSize=15569 bytes, Retrieved=true, Duration=0.063475ms, RunGuid=RunID3FA70B1741AA7B9CA0C6ECA23252CA70
DDCTransactionId67C4E6B54821EAD9C15960961316B64F_27, GetCachedData, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_0B92E78C4DB1EF7D0C58D2A05F1E4C3__0A0B313B1A847E9E2D62BADAF19988370A263D03, StartTime=2016.05.24-09.33.01, HierarchicalDDC, DataSize=5412 bytes, Retrieved=true, Duration=0.166379ms, RunGuid=RunID3FA70B1741AA7B9CA0C6ECA23252CA70
