DDCTransactionId505EDF824100D4CA20C6D1A49F77F38B_14, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufED9A9085__E8E8F6A974CFFFD14638F5460D1E279D2CFFBC93, StartTime=2016.05.24-08.48.39, HierarchicalDDC, DataSize=20272 bytes, Retrieved=true, Duration=0.311598ms, RunGuid=RunID66A3F22C4DE6FA4A4A25F6BC39E3771D
DDCTransactionId505EDF824100D4CA20C6D1A49F77F38B_15, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufED9A9085__A6D8B5D7C4BA1914916EDB8EEF1A2430303F569C, StartTime=2016.05.24-08.48.39, HierarchicalDDC, DataSize=18645 bytes, Retrieved=true, Duration=0.164133ms, RunGuid=RunID66A3F22C4DE6FA4A4A25F6BC39E3771D
DDCTransactionId505EDF824100D4CA20C6D1A49F77F38B_16, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufED9A9085__1B19725398BA974ABF67B90E7D4E53DD7BC27FDC, StartTime=2016.05.24-08.48.39, HierarchicalDDC, DataSize=11827 bytes, Retrieved=true, Duration=0.335321ms, RunGuid=RunID66A3F22C4DE6FA4A4A25F6BC39E3771D
DDCTransactionId505EDF824100D4CA20C6D1A49F77F38B_17, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufED9A9085__A8B069CCB8A682803E214E9F9F02DCE8AFAEE8B5, StartTime=2016.05.24-08.48.39, HierarchicalDDC, DataSize=38327 bytes, Retrieved=true, Duration=0.140410ms, RunGuid=RunID66A3F22C4DE6FA4A4A25F6BC39E3771D
DDCTransactionId505EDF824100D4CA20C6D1A49F77F38B_18, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufED9A9085__E0A95C87630FA0599BDFAB622058012DDECC3E0A, StartTime=2016.05.24-08.48.39, HierarchicalDDC, DataSize=31142 bytes, Retrieved=true, Duration=0.300378ms, RunGuid=RunID66A3F22C4DE6FA4A4A25F6BC39E3771D
DDCTransactionId505EDF824100D4CA20C6D1A49F77F38B_19, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufED9A9085__002EFBBCF05F1CE3AA3002D2F8DE1E71CF0A10B9, StartTime=2016.05.24-08.48.39, HierarchicalDDC, DataSize=37776 bytes, Retrieved=true, Duration=0.145860ms, RunGuid=RunID66A3F22C4DE6FA4A4A25F6BC39E3771D
DDCTransactionId505EDF824100D4CA20C6D1A49F77F38B_20, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufED9A9085__A3EDDECAB2B7A8AA294026CB09800F5FB59272E4, StartTime=2016.05.24-08.48.39, HierarchicalDDC, DataSize=30886 bytes, Retrieved=true, Duration=0.344615ms, RunGuid=RunID66A3F22C4DE6FA4A4A25F6BC39E3771D
DDCTransactionId505EDF824100D4CA20C6D1A49F77F38B_21, GetCachedData, CacheKey=STATICMESH_46A8778361B442A9523C54440EA1E9D_8C68575CEF434CA8A9E1DA4AED8A47BB_21__27332BED7EEB4BCFC645A8495DBDD296BC92845C, StartTime=2016.05.24-08.48.39, HierarchicalDDC, DataSize=36762 bytes, Retrieved=true, Duration=0.150029ms, RunGuid=RunID66A3F22C4DE6FA4A4A25F6BC39E3771D
DDCTransactionId505EDF824100D4CA20C6D1A49F77F38B_22, GetCachedData, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_572BACBB4C0F7A7E5__3E548DD4356165E327B3FDBD52328D445BA9E3FF, StartTime=2016.05.24-08.48.39, HierarchicalDDC, DataSize=5894 bytes, Retrieved=true, Duration=0.122782ms, RunGuid=RunID66A3F22C4DE6FA4A4A25F6BC39E3771D
DDCTransactionId505EDF824100D4CA20C6D1A49F77F38B_23, GetCachedData, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_572BACBB4C0F7A7E5E958FB3CA3C35D__C2850DB5A2961110725E32467314D7B18AB25CB6, StartTime=2016.05.24-08.48.39, HierarchicalDDC, DataSize=15253 bytes, Retrieved=true, Duration=0.137206ms, RunGuid=RunID66A3F22C4DE6FA4A4A25F6BC39E3771D
DDCTransactionId505EDF824100D4CA20C6D1A49F77F38B_24, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM5_3__BC5N_DEV_SL_NoDBufAC9EF829__8CC0F4B428211CB014630ACFB9E79EB44FF8A93A, StartTime=2016.05.24-08.48.39, HierarchicalDDC, DataSize=157804 bytes, Retrieved=true, Duration=0.283387ms, RunGuid=RunID66A3F22C4DE6FA4A4A25F6BC39E3771D
DDCTransactionId505EDF824100D4CA20C6D1A49F77F38B_25, GetCachedData, CacheKey=MATSM_984afa3849534faa8491540b994bd32e_PCD3D_SM4_3__BC5N_DEV_SL_NoDBufAC9EF829__EEA3882D73982854244620B11008BF4A6D2EAB41, StartTime=2016.05.24-08.48.39, HierarchicalDDC, DataSize=116636 bytes, Retrieved=true, Duration=0.633776ms, RunGuid=RunID66A3F22C4DE6FA4A4A25F6BC39E3771D
